property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
house,independent,gurukul,2.4,11111.0,3.0,3.0,3,3.0,Relatively New,2160.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,independent,gurukul,2.4,18391.0,4.0,3.0,2,2.0,Moderately Old,1305.0,1.0,0.0,0.0,1.0,0.0,1.0,39.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,p tower,gurukul,0.56,4014.0,2.0,2.0,2,1.0,Old Property,1395.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,chinmay towers,gurukul,0.65,5778.0,3.0,3.0,3,6.0,Old Property,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,himganga apartment,gurukul,0.65,5642.0,2.0,2.0,1,1.0,Old Property,1152.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,sarjan tower gurukul,gurukul,0.45,6250.0,2.0,2.0,1,8.0,Old Property,720.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,sterling park society,gurukul,0.6,5848.0,2.0,2.0,2,2.0,Old Property,1026.0,0.0,0.0,0.0,0.0,1.0,2.0,139.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,independent,gurukul,0.45,3333.0,1.0,1.0,1,1.0,Old Property,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,shakmba tower,gurukul,0.5,4545.0,2.0,2.0,2,9.0,Old Property,1294.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,on request,gurukul,0.6,5455.0,2.0,2.0,2,1.0,Old Property,1000.0,1.0,0.0,1.0,1.0,0.0,2.0,212.0,"23.0446° N, 72.5249° E",23.0446,72.5249
