property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,store room,pooja room,furnishing_type,luxury_category,floor_category
house,science city,3.41,4,4,1,Relatively New,2520.0,1,1,unfurnished,High,Mid Floor
flat,nava naroda,0.32,2,2,2,Moderately Old,1218.0,0,0,unfurnished,Low,Low Floor
flat,vatva,0.16,1,1,1,Relatively New,784.0,0,0,unfurnished,Low,Mid Floor
house,motera,2.5,4,4,2,Relatively New,3879.0,1,1,furnished,Medium,Low Floor
flat,south bopal,0.89,3,2,1,Under Construction,1452.0,1,0,unfurnished,High,Mid Floor
flat,chandkheda,0.4,2,2,1,Relatively New,1165.0,0,0,unfurnished,Medium,Low Floor
flat,paldi,1.18,4,4,2,Old Property,1944.0,0,0,unfurnished,Not available,Low Floor
flat,south bopal,0.63,3,3,1,Under Construction,1615.0,0,0,unfurnished,Medium,Mid Floor
flat,maninagar,0.41,2,2,2,Old Property,1035.0,0,0,unfurnished,Not available,Mid Floor
flat,gota,0.65,2,2,2,Moderately Old,1215.0,0,0,furnished,Medium,Mid Floor
flat,jagatpur,0.47,2,2,1,Relatively New,847.0,0,1,unfurnished,Medium,Mid Floor
flat,new ranip,0.46,2,2,2,Relatively New,1092.0,0,0,furnished,High,Low Floor
flat,south bopal,0.64,3,3,1,Under Construction,1281.0,1,0,unfurnished,Medium,Mid Floor
flat,vastrapur,0.56,2,2,1,Old Property,990.0,1,1,furnished,High,Low Floor
flat,gota,0.52,2,2,0,Relatively New,1100.0,1,1,unfurnished,High,Mid Floor
flat,new maninagar,0.33,2,2,3,Moderately Old,1152.0,0,0,unfurnished,Medium,Mid Floor
flat,naroda,0.35,2,2,1,Moderately Old,1035.0,0,0,unfurnished,Medium,Low Floor
flat,gota,0.42,2,1,1,Moderately Old,657.0,1,0,unfurnished,Low,Mid Floor
flat,bodakdev,2.51,4,4,1,Relatively New,2722.0,0,1,unfurnished,Low,Mid Floor
flat,vastral,0.32,2,2,0,Moderately Old,1062.0,0,0,unfurnished,Not available,Mid Floor
flat,motera,1.1,3,3,2,Relatively New,2211.0,1,0,unfurnished,Medium,Mid Floor
flat,chandkheda,0.5,2,2,2,Moderately Old,896.0,0,0,furnished,Medium,Mid Floor
flat,jagatpur,0.5,2,2,1,Relatively New,765.0,1,0,unfurnished,Low,Mid Floor
flat,maninagar,0.7,3,2,2,Old Property,1588.0,0,0,semifurnished,Low,Mid Floor
house,naroda,0.65,3,3,2,Old Property,1800.0,0,1,unfurnished,Low,Low Floor
flat,paldi,0.62,2,2,1,Old Property,1412.0,0,0,unfurnished,Not available,Mid Floor
house,thaltej,4.5,6,6,3,Old Property,5265.0,0,0,unfurnished,Not available,Low Floor
flat,chandkheda,0.35,1,1,1,Moderately Old,405.0,0,0,unfurnished,Not available,Mid Floor
house,prahlad nagar,4.7,4,4,1,Old Property,3420.0,1,1,unfurnished,Medium,Low Floor
flat,science city,2.56,4,4,1,Under Construction,2844.0,1,1,unfurnished,High,High Floor
house,satellite,13.0,5,5,1,Relatively New,8550.0,1,0,unfurnished,Low,Mid Floor
flat,shela,0.62,3,3,1,Relatively New,1511.0,0,1,unfurnished,Medium,Mid Floor
flat,shahibaug,4.0,4,4,3,Old Property,3305.0,0,0,furnished,Low,Low Floor
flat,gota,0.95,3,3,2,Relatively New,1969.0,0,0,unfurnished,Low,Low Floor
flat,satellite,1.98,3,3,2,Under Construction,1909.0,1,0,unfurnished,Low,Low Floor
flat,gota,0.85,3,3,1,Relatively New,1593.0,1,1,unfurnished,Medium,Mid Floor
flat,maninagar,0.2,1,1,1,Old Property,630.0,0,0,unfurnished,Low,Mid Floor
flat,science city,3.89,4,4,3,Under Construction,5832.0,1,1,unfurnished,High,Mid Floor
flat,satellite,3.57,4,4,1,New Property,3200.0,1,0,unfurnished,Medium,Mid Floor
flat,gota,0.91,3,3,2,Moderately Old,1620.0,0,0,semifurnished,High,Low Floor
flat,maninagar,0.65,4,3,2,Moderately Old,996.0,0,0,unfurnished,Not available,Mid Floor
house,science city,3.75,4,4,3,Moderately Old,2394.0,1,1,semifurnished,Medium,Low Floor
flat,chandkheda,0.55,3,3,2,New Property,1530.0,0,0,unfurnished,Low,Mid Floor
flat,south bopal,0.61,3,3,1,Under Construction,1615.0,1,1,unfurnished,High,Mid Floor
flat,jagatpur,0.82,3,3,1,Relatively New,1700.0,1,1,unfurnished,High,Mid Floor
flat,new ranip,0.48,2,2,1,Relatively New,1134.0,0,0,unfurnished,Low,Mid Floor
flat,sarkhej,0.33,2,2,0,Relatively New,1029.0,0,0,unfurnished,Low,Mid Floor
flat,jagatpur,0.27,1,1,1,Relatively New,570.0,1,0,unfurnished,High,Mid Floor
flat,maninagar,0.33,1,1,1,Old Property,654.0,0,0,unfurnished,Not available,Mid Floor
house,science city,3.61,4,4,3,Relatively New,2160.0,0,0,semifurnished,High,Low Floor
flat,new ranip,0.68,2,2,2,Moderately Old,1747.0,1,0,furnished,Medium,Low Floor
flat,shela,0.5,3,3,1,Relatively New,864.0,0,1,unfurnished,Medium,Mid Floor
flat,south bopal,2.25,4,5,1,Moderately Old,3154.0,0,1,unfurnished,High,Mid Floor
flat,narol,0.24,2,2,1,Moderately Old,1080.0,0,0,unfurnished,Low,Mid Floor
flat,sg highway,2.5,5,5,0,Relatively New,5176.0,0,0,unfurnished,High,High Floor
flat,gota,0.29,1,2,0,Under Construction,976.0,0,0,unfurnished,Medium,Low Floor
flat,satellite,0.6,2,2,0,Relatively New,1350.0,0,0,unfurnished,Low,Low Floor
flat,south bopal,0.65,3,3,1,Relatively New,1195.0,0,0,unfurnished,High,Mid Floor
flat,khokhara,0.35,3,2,0,Relatively New,500.0,0,0,unfurnished,Not available,High Floor
flat,chandkheda,0.45,2,2,1,Relatively New,1218.0,0,0,unfurnished,Not available,Mid Floor
flat,chandkheda,0.52,2,2,1,Relatively New,1350.0,0,0,unfurnished,Medium,Mid Floor
flat,bodakdev,4.99,4,4,2,Under Construction,5612.0,1,0,unfurnished,Medium,High Floor
flat,bodakdev,1.85,4,4,1,Old Property,2776.0,1,1,unfurnished,High,Low Floor
flat,satellite,1.16,3,3,1,Under Construction,1532.0,1,0,unfurnished,Medium,Mid Floor
flat,koteshwar,0.9,3,3,3+,Moderately Old,1322.0,0,0,semifurnished,Medium,Low Floor
flat,sola,3.79,4,4,3,Under Construction,5679.0,1,1,unfurnished,High,Mid Floor
house,shela,9.4,4,4,2,New Property,7695.0,0,1,unfurnished,Medium,Low Floor
house,ghatlodia,1.25,4,3,2,Old Property,2025.0,1,1,furnished,Low,Low Floor
